"","V1","V1.1","primaryTitle","tconst","averageRating","numVotes","titleType","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","rating","critics_pick","author","headline","summary","pub_date","opening_date","updated_date","link_type","link_url","link_suggested","multimedia_type","multi_media_src","multimedia_height","multimedia_width","NA.","sent_mean","sent_sd","sent_sum","covid","action","drama","horror","crime","thriller","comedy","documentary","war","adventure","biography","family","romance","fantasy","animation","mystery","musical","music","sci-fi","sport","history","western","j"
"160",160,160,"Blow the Man Down","tt8299768",6.4,8216,"movie","Blow the Man Down",0,2019,"\N",91,"Comedy,Drama,Mystery","R",0,"Helen T. Verongos","‘Blow the Man Down’ Review: Women, They Get the Job Done","A fishing village in Maine with a rowdy history is the raw setting for a smart fable about who’s really in charge.",2020-03-19,2020-03-20,"2020-03-19 12:04:02","article","https://www.nytimes.com/2020/03/19/movies/blow-the-man-down-review.html","Read the New York Times Review of Blow the Man Down","mediumThreeByTwo210","https://static01.nyt.com/images/2020/03/20/arts/19blowthemanpix/19blowthemanpix-mediumThreeByTwo210.jpg",140,210,NA,0.0217391304347826,0.104257207028537,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"161",161,161,"Blowin' Up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"JEANNETTE CATSOULIS","‘Blowin’ Up’ Review: In a Queens Courtroom, Humanity Prevails","Stephanie Wang-Breal’s fascinating documentary highlights a program in Queens that treats prostitutes as victims, not criminals.",2019-04-04,2019-04-05,"2019-04-12 16:44:02","article","https://www.nytimes.com/2019/04/04/movies/blowin-up-review.html","Read the New York Times Review of Blowin' Up","mediumThreeByTwo210","https://static01.nyt.com/images/2019/04/03/arts/blowin1/merlin_152973909_09c03051-7caf-45f4-8999-9e174bc49d80-mediumThreeByTwo210.jpg",140,210,NA,-0.0694444444444444,0.351525619888378,-1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"162",162,162,"Blue Note Records: Beyond the Notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"GLENN KENNY","‘Blue Note Records’ Review: A Smart, Exhilarating Look at an Influential Label","Featuring Herbie Hancock, Wayne Shorter and other luminaries, a new documentary examines Blue Note’s legacy from Thelonious Monk to hip-hop.",2019-06-13,2019-06-14,"2019-07-02 16:44:01","article","https://www.nytimes.com/2019/06/13/movies/blue-note-records-beyond-the-notes-review.html","Read the New York Times Review of Blue Note Records: Beyond the Notes","mediumThreeByTwo210","https://static01.nyt.com/images/2019/06/14/arts/13bluenote/merlin_156053955_31cf177a-14d4-41ed-8cdf-7f775e4d3b09-mediumThreeByTwo210.jpg",140,210,NA,0.0636363636363636,0.208270553311368,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"163",163,163,"Blue Story","tt9285882",6,3635,"movie","Blue Story",0,2019,"\N",91,"Crime,Drama","R",0,"Ben Kenigsberg","‘Blue Story’ Review: Gang Wars in Southeast London","The feature debut of the writer-director Rapman began as a 2014 series on YouTube.",2020-05-05,2020-05-05,"2020-05-05 18:08:02","article","https://www.nytimes.com/2020/05/05/movies/blue-story-review.html","Read the New York Times Review of Blue Story","mediumThreeByTwo210","https://static01.nyt.com/images/2020/05/08/arts/bluestory1/bluestory1-mediumThreeByTwo210.jpg",140,210,NA,0.0166666666666667,0.0645497224367903,0.25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"164",164,164,"Body Cam","tt8179024",5.3,3706,"movie","Body Cam",0,2020,"\N",96,"Horror,Mystery,Thriller","R",0,"Jeannette Catsoulis","‘Body Cam’ Review: Rage in Physical Form","Mary J. Blige plays a bereaved police officer hunting a killer in this supernatural crime thriller.",2020-05-19,2020-05-19,"2020-05-19 12:04:02","article","https://www.nytimes.com/2020/05/19/movies/body-cam-review.html","Read the New York Times Review of Body Cam","mediumThreeByTwo210","https://static01.nyt.com/images/2020/05/18/arts/bodycam1/bodycam1-mediumThreeByTwo210.jpg",140,210,NA,-0.190625,0.318966429790555,-3.05,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"165",165,165,"Bombay Rose","tt8435324",6.1,421,"movie","Bombay Rose",0,2019,"\N",97,"Animation,Drama,Romance","PG-13",0,"Amy Nicholson","‘Bombay Rose’ Review: Nostalgic Ruminations","A romance between a refugee and an escaped child bride is at the heart of this animated film.",2021-03-08,2021-03-08,"2021-03-08 22:11:03","article","https://www.nytimes.com/2021/03/08/movies/bombay-rose-review.html","Read the New York Times Review of Bombay Rose","mediumThreeByTwo210","https://static01.nyt.com/images/2021/03/10/arts/bombay1/bombay1-mediumThreeByTwo440.jpg",140,210,NA,0.116666666666667,0.228164027684935,2.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"166",166,166,"Bombshell","tt6394270",6.8,94914,"movie","Bombshell",0,2019,"\N",109,"Biography,Drama","R",0,"Manohla Dargis","‘Bombshell’ Review: Blind Ambition and Blond Sedition at Fox News","Charlize Theron, Nicole Kidman and Margot Robbie star in a story about the fall of Roger Ailes.",2019-12-12,2019-12-20,"2020-01-12 17:44:01","article","https://www.nytimes.com/2019/12/12/movies/bombshell-review.html","Read the New York Times Review of Bombshell","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/11/arts/00bombshell-1/merlin_165535035_7e432360-13d9-4769-ad76-af28b17a0ec6-mediumThreeByTwo210.jpg",140,210,NA,0.0205882352941176,0.161108293867638,0.35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"167",167,167,"Boogie","tt10896398",5.1,748,"movie","Boogie",0,2021,"\N",90,"Drama","R",0,"Teo Bugbee","‘Boogie’ Review: There’s No Laughing in Basketball","Hoop dreams intertwine with Chinese-American identity in this coming-of-age drama from Eddie Huang.",2021-03-04,2021-03-05,"2021-03-04 12:02:03","article","https://www.nytimes.com/2021/03/04/movies/boogie-review.html","Read the New York Times Review of Boogie","mediumThreeByTwo210","https://static01.nyt.com/images/2021/03/05/arts/04boogie/04boogie-mediumThreeByTwo440.jpg",140,210,NA,0,0.0912870929175277,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"168",168,168,"Books of Blood","tt11242218",5.6,4831,"movie","Books of Blood",0,2020,"\N",107,"Drama,Horror,Mystery","",0,"Amy Nicholson","‘Books of Blood’ Review: Not Quite a Page-Turner","A Clive Barker short-story anthology is the source of inspiration for this lackluster trilogy of horror tales.",2020-10-07,2020-10-07,"2020-10-07 11:04:02","article","https://www.nytimes.com/2020/10/07/movies/books-of-blood-review.html","Read the New York Times Review of Books of Blood","mediumThreeByTwo210","https://static01.nyt.com/images/2020/10/02/arts/booksofblood1/booksofblood1-mediumThreeByTwo210.jpg",140,210,NA,-0.0277777777777778,0.362678849276351,-0.5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"169",169,169,"Booksmart","tt1489887",7.2,97061,"movie","Booksmart",0,2019,"\N",102,"Comedy","R",1,"A.O. SCOTT","Review: ‘Booksmart’ Crashes the Party and Aces the Test","Beanie Feldstein and Kaitlyn Dever are a classic comedy duo in Olivia Wilde’s sweet and nasty teen movie.",2019-05-22,2019-05-24,"2019-06-22 16:44:01","article","https://www.nytimes.com/2019/05/22/movies/booksmart-review.html","Read the New York Times Review of Booksmart","mediumThreeByTwo210","https://static01.nyt.com/images/2019/05/24/arts/24booksmart-wkd/24booksmart-wkd-mediumThreeByTwo210-v2.jpg",140,210,NA,0.0394736842105263,0.336063381657728,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"170",170,170,"Borat Subsequent Moviefilm","tt13143964",6.7,117594,"movie","Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan",0,2020,"\N",95,"Comedy","R",0,"Devika Girish","‘Borat Subsequent Moviefilm’ Review: More Cultural Learnings","It’s an amusingly harebrained scheme, but there’s nothing in this moviefilm that matches the elegant social experiment of the first.",2020-10-21,2020-10-23,"2020-10-24 16:44:01","article","https://www.nytimes.com/2020/10/21/movies/borat-subsequent-moviefilm-review.html","Read the New York Times Review of Borat Subsequent Moviefilm","mediumThreeByTwo210","https://static01.nyt.com/images/2020/10/23/arts/borat1/borat1-mediumThreeByTwo440.jpg",140,210,NA,0.0772727272727273,0.268916376065158,1.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"171",171,171,"Born to Be","tt8347270",8.5,49,"movie","Transformation",0,2019,"\N",92,"Documentary","",1,"Glenn Kenny","‘Born to Be’ Review: A Compassionate Doctor Changing Lives","This documentary follows Dr. Jess Ting in his work at Mount Sinai’s Center for Transgender Medicine and Surgery.",2020-11-18,2020-11-18,"2020-11-18 12:04:03","article","https://www.nytimes.com/2020/11/18/movies/born-to-be-review.html","Read the New York Times Review of Born to Be","mediumThreeByTwo210","https://static01.nyt.com/images/2020/11/19/arts/19borntobe/19borntobe-mediumThreeByTwo210.jpg",140,210,NA,0.0263157894736842,0.0788254419105764,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"172",172,172,"Boss Level","tt7638348",6.9,20181,"movie","Boss Level",0,2021,"\N",94,"Action,Mystery,Sci-Fi","",0,"Elisabeth Vincentelli","‘Boss Level’ Review: Game Never Over","Frank Grillo gets to die another day — again and again and again — in the time-loop action comedy.",2021-03-05,2021-03-05,"2021-03-05 12:01:03","article","https://www.nytimes.com/2021/03/05/movies/boss-level-review-game-never-over.html","Read the New York Times Review of Boss Level","mediumThreeByTwo210","https://static01.nyt.com/images/2021/03/06/arts/boss1/merlin_184179603_a30fd249-23e6-4977-ba25-33650a1ae470-mediumThreeByTwo440.jpg",140,210,NA,0,0.226871303243258,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"173",173,173,"Bottom of the 9th","tt1507002",5.6,638,"movie","Stano",0,2019,"\N",111,"Drama","R",0,"TEO BUGBEE","‘Bottom of the 9th’ Review: A Stroll Around the Baseball Diamond","Joe Manganiello stars as a minor-league baseball player recently returned home from prison in Raymond De Felitta’s congenial film.",2019-07-18,2019-07-19,"2019-07-26 16:44:01","article","https://www.nytimes.com/2019/07/18/movies/bottom-of-the-9th-review.html","Read the New York Times Review of Bottom of the 9th","mediumThreeByTwo210","https://static01.nyt.com/images/2019/07/18/arts/18bottomof/merlin_157859421_77db5df5-52c3-462c-a80c-b621cf036b75-mediumThreeByTwo210.jpg",140,210,NA,-0.00476190476190476,0.210300238887621,-0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"174",174,174,"Boys State","tt11095742",7.7,3719,"movie","Boys State",0,2020,"\N",109,"Documentary","PG-13",0,"Manohla Dargis","‘Boys State’ Review: Give Me a Teen and I’ll Show You a Politician","The winning if overly eager-to-please documentary “Boys State” looks at an annual educational program for teenage boys.",2020-08-13,2020-08-14,"2020-08-13 18:16:03","article","https://www.nytimes.com/2020/08/13/movies/boys-state-review.html","Read the New York Times Review of Boys State","mediumThreeByTwo210","https://static01.nyt.com/images/2020/08/14/arts/13boysstate/13boysstate-mediumThreeByTwo210.jpg",140,210,NA,0.173684210526316,0.348954160095496,3.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"175",175,175,"Breaking News in Yuba County","tt7737640",5.6,1895,"movie","Breaking News in Yuba County",0,2021,"\N",96,"Comedy,Crime,Drama","R",0,"Glenn Kenny","‘Breaking News in Yuba County’ Review: Lampooning Suburbia","“Awkwafina head-butts Wanda Sykes” could be a satisfactory one-sentence recap of this movie.",2021-02-11,2021-02-12,"2021-02-11 12:07:03","article","https://www.nytimes.com/2021/02/11/movies/breaking-news-in-yuba-county-review.html","Read the New York Times Review of Breaking News in Yuba County","mediumThreeByTwo210","https://static01.nyt.com/images/2021/02/11/arts/11breakingnews/merlin_183312960_6f44eb3a-cc59-4e34-8031-308c536e6280-mediumThreeByTwo440.jpg",140,210,NA,0.0533333333333333,0.206559111797729,0.8,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"176",176,176,"Breakthrough","tt11006500",6.1,99,"movie","Preboj",0,2019,"\N",90,"Drama,War","PG",1,"BILGE EBIRI","‘Breakthrough’ Review: A Remarkable Story of Survival, Told Through a Religious Lens","After a 14-year-old boy falls into freezing water and his pulse stops, prayers and medical workers both seem to play a role in his recovery.",2019-04-15,2019-04-17,"2019-05-15 16:44:01","article","https://www.nytimes.com/2019/04/15/movies/breakthrough-review.html","Read the New York Times Review of Breakthrough","mediumThreeByTwo210","https://static01.nyt.com/images/2019/04/16/arts/16breakthrough/merlin_153438291_78fa1752-8866-407a-9b93-8fae6c8fabe7-mediumThreeByTwo210.jpg",140,210,NA,-0.0333333333333333,0.18397324220156,-0.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"177",177,177,"Breakthrough","tt7083526",6.3,8562,"movie","Breakthrough",0,2019,"\N",116,"Biography,Drama","PG",1,"BILGE EBIRI","‘Breakthrough’ Review: A Remarkable Story of Survival, Told Through a Religious Lens","After a 14-year-old boy falls into freezing water and his pulse stops, prayers and medical workers both seem to play a role in his recovery.",2019-04-15,2019-04-17,"2019-05-15 16:44:01","article","https://www.nytimes.com/2019/04/15/movies/breakthrough-review.html","Read the New York Times Review of Breakthrough","mediumThreeByTwo210","https://static01.nyt.com/images/2019/04/16/arts/16breakthrough/merlin_153438291_78fa1752-8866-407a-9b93-8fae6c8fabe7-mediumThreeByTwo210.jpg",140,210,NA,-0.0333333333333333,0.18397324220156,-0.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"178",178,178,"Brian Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PG-13",0,"JEANNETTE CATSOULIS","‘Brian Banks’ Review: Falsely Accused, and Fighting Back","A potent performance from Aldis Hodge elevates this formulaic film about a football player seeking redemption.",2019-08-08,2019-08-09,"2019-08-30 16:44:02","article","https://www.nytimes.com/2019/08/08/movies/brian-banks-review.html","Read the New York Times Review of Brian Banks","mediumThreeByTwo210","https://static01.nyt.com/images/2019/08/09/arts/08brianbanks/merlin_158821905_34a668a7-3e1a-44e4-92e0-3978f6cec77a-mediumThreeByTwo210.jpg",140,210,NA,0.034375,0.119329725271339,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"179",179,179,"Brightburn","tt7752126",6.1,81551,"movie","Brightburn",0,2019,"\N",90,"Drama,Horror,Mystery","R",0,"A.O. SCOTT","‘Brightburn’ Review: What if He Doesn’t Use His Powers for Good?","A superhero only a mother could love, with Elizabeth Banks as his mother.",2019-05-23,2019-05-24,"2019-06-21 16:44:01","article","https://www.nytimes.com/2019/05/23/movies/brightburn-review.html","Read the New York Times Review of Brightburn","mediumThreeByTwo210","https://static01.nyt.com/images/2019/05/23/arts/23brightburn2/23brightburn2-mediumThreeByTwo210.jpg",140,210,NA,0.0576923076923077,0.208012573584461,0.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"180",180,180,"Britt-Marie Was Here","tt8103160",5.3,1301,"movie","Britt-Marie var här",0,2019,"\N",97,"Comedy,Drama,Sport","",0,"TEO BUGBEE","‘Britt-Marie Was Here’ Review: Scrubbing Away Years of Indifference","In this Swedish comedy, a woman’s humdrum life changes when she takes on a job as a youth soccer coach.",2019-09-19,2019-09-20,"2019-10-04 16:44:01","article","https://www.nytimes.com/2019/09/19/movies/britt-marie-was-here-review.html","Read the New York Times Review of Britt-Marie Was Here","mediumThreeByTwo210","https://static01.nyt.com/images/2019/09/20/arts/britt1/britt1-mediumThreeByTwo210.jpg",140,210,NA,0.0428571428571429,0.136277028773849,0.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"181",181,181,"Brittany Runs a Marathon","tt7671064",6.8,16800,"movie","Brittany Runs a Marathon",0,2019,"\N",104,"Comedy,Drama","R",0,"TEO BUGBEE","‘Brittany Runs a Marathon’ Review: Racing With a Heavy Heart","This comedy glosses over its protagonist’s emotional wounds and instead aims to treat what’s physical.",2019-08-22,2019-08-23,"2019-09-22 16:44:01","article","https://www.nytimes.com/2019/08/22/movies/brittany-runs-a-marathon-review.html","Read the New York Times Review of Brittany Runs a Marathon","mediumThreeByTwo210","https://static01.nyt.com/images/2019/08/23/arts/brittany2/brittany2-mediumThreeByTwo210.jpg",140,210,NA,-0.0294117647058824,0.277859465113106,-0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"182",182,182,"Buffaloed","tt8647310",6.2,4169,"movie","Buffaloed",0,2019,"\N",95,"Comedy,Drama","",1,"Jeannette Catsoulis","‘Buffaloed’ Review: At Debt’s Door","Zoey Deutch’s pell-mell performance gives this debt-collection comedy the energy it needs.",2020-02-13,2020-02-14,"2020-03-06 17:44:02","article","https://www.nytimes.com/2020/02/13/movies/buffaloed-review.html","Read the New York Times Review of Buffaloed","mediumThreeByTwo210","https://static01.nyt.com/images/2020/02/14/arts/buffaloed1/buffaloed1-mediumThreeByTwo210.jpg",140,210,NA,0.01,0.263357443139819,0.15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"183",183,183,"Bull","tt10008784",6.5,1530,"movie","Bull",0,2019,"\N",108,"Drama","",0,"Jeannette Catsoulis","‘Bull’ Review: A Lot to Wrangle With","A worn-out bull rider and a troubled teenager form an improbable connection in this low-key, naturalistic drama.",2020-04-30,2020-05-01,"2020-04-30 11:04:06","article","https://www.nytimes.com/2020/04/30/movies/bull-review.html","Read the New York Times Review of Bull","mediumThreeByTwo210","https://static01.nyt.com/images/2020/05/01/arts/bull1/bull1-mediumThreeByTwo210.jpg",140,210,NA,-0.0894736842105263,0.216396592810786,-1.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"184",184,184,"Buñuel in the Labyrinth of the Turtles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"GLENN KENNY","‘Buñuel in the Labyrinth of the Turtles’ Review: Animating a Surrealist","The film explores the making of the director Luis Buñuel’s 1933 documentary.",2019-08-15,2019-08-16,"2019-08-23 16:44:02","article","https://www.nytimes.com/2019/08/15/movies/bunuel-in-the-labyrinth-of-turtles-review.html","Read the New York Times Review of Buñuel in the Labyrinth of the Turtles","mediumThreeByTwo210","https://static01.nyt.com/images/2019/08/15/arts/15bunuel/15bunuel-mediumThreeByTwo210.jpg",140,210,NA,0.0192307692307692,0.0693375245281536,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"185",185,185,"Burning Cane","tt7358154",5.5,551,"movie","Burning Cane",0,2019,"\N",77,"Drama","",1,"GLENN KENNY","‘Burning Cane’ Review: Poverty and Despair in Rural Louisiana","The director Phillip Youmans completed this, his first feature, while still in his teens. It feels like the work of an older, and fully formed, artist.",2019-10-24,2019-10-25,"2019-11-15 03:44:01","article","https://www.nytimes.com/2019/10/24/movies/burning-cane-review.html","Read the New York Times Review of Burning Cane","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/25/arts/24burning/merlin_162979698_0fef3cbf-1f57-4374-a5d4-8da952532c16-mediumThreeByTwo210.jpg",140,210,NA,0.0769230769230769,0.172180584986095,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"186",186,186,"By the Grace of God",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"GLENN KENNY","‘By the Grace of God’ Review: A Devastating Film About Survivors of Abuse","The often irreverent French director François Ozon gets serious with a fact-based story about a group of men who were childhood victims of a pedophile priest.",2019-10-17,2019-10-18,"2019-11-01 16:44:01","article","https://www.nytimes.com/2019/10/17/movies/by-the-grace-of-god-review.html","Read the New York Times Review of By the Grace of God","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/18/arts/17graceofgod-art/merlin_162489012_de91ad91-3748-445c-b3ea-c3c24e565a96-mediumThreeByTwo210.jpg",140,210,NA,-0.0240740740740741,0.279549902786869,-0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"187",187,187,"Cane River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"A.O. Scott","‘Cane River’ Review: A Lost Treasure of Independent Cinema","Horace B. Jenkins’s tale of forbidden romance in Louisiana, completed in 1982, opens at last.",2020-02-06,2020-02-07,"2020-03-06 17:44:02","article","https://www.nytimes.com/2020/02/06/movies/cane-river-review.html","Read the New York Times Review of Cane River","mediumThreeByTwo210","https://static01.nyt.com/images/2020/02/07/arts/06caneriver-1/06caneriver-1-mediumThreeByTwo210.jpg",140,210,NA,-0.03125,0.286865241300975,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"188",188,188,"Capital in the Twenty-First Century","tt5723056",7.3,1929,"movie","Capital in the Twenty-First Century",0,2019,"\N",103,"Documentary","",0,"Ben Kenigsberg","‘Capital in the Twenty-First Century’ Review: Economic History, Illustrated","Justin Pemberton’s documentary version of the Thomas Piketty best seller is best regarded as a supplement or potential gateway to the book.",2020-04-30,2020-04-03,"2020-04-30 11:04:05","article","https://www.nytimes.com/2020/04/30/movies/capital-in-twenty-first-century-review.html","Read the New York Times Review of Capital in the Twenty-First Century","mediumThreeByTwo210","https://static01.nyt.com/images/2020/05/01/arts/30capital-art/30capital-art-mediumThreeByTwo210.jpg",140,210,NA,0.0434782608695652,0.144052032760015,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"189",189,189,"Capone","tt6199572",4.7,16686,"movie","Capone",0,2020,"\N",103,"Biography,Crime,Drama","R",0,"Ben Kenigsberg","‘Capone’ Review: The Gangster as Unhygienic Hero","Tom Hardy plays Al Capone as a boogeyman bloated with body fluids.",2020-05-12,2020-05-12,"2020-05-12 13:04:02","article","https://www.nytimes.com/2020/05/12/movies/capone-review.html","Read the New York Times Review of Capone","mediumThreeByTwo210","https://static01.nyt.com/images/2020/05/11/arts/capone1/merlin_172328157_ccd15976-0e2c-4d1c-b9ce-4e9fed5d3661-mediumThreeByTwo210.jpg",140,210,NA,0,0.319801074533416,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"190",190,190,"Carmine Street Guitars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"GLENN KENNY","‘Carmine Street Guitars’ Review: A Portrait of an Ax Meister","The Greenwich Village guitar shop at the heart of Ron Mann’s documentary is one the last redoubts of a fast-disappearing bohemian Manhattan.",2019-04-23,2019-04-24,"2019-05-08 16:44:02","article","https://www.nytimes.com/2019/04/23/movies/carmine-street-guitars-review.html","Read the New York Times Review of Carmine Street Guitars","mediumThreeByTwo210","https://static01.nyt.com/images/2019/04/24/arts/23carmine-print/23carmine1-mediumThreeByTwo210.jpg",140,210,NA,0.025,0.122474487139159,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"191",191,191,"Cassandro, the Exotico!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"GLENN KENNY","‘Cassandro the Exotico!’  Review: A Gay Luchador Body Slams Life","Marie Losier’s documentary steps into the ring with a Mexican professional wrestler, whose world is equal parts glamour and grunge.",2019-07-18,2019-07-19,"2019-07-26 16:44:01","article","https://www.nytimes.com/2019/07/18/movies/cassandro-the-exotico-review.html","Read the New York Times Review of Cassandro, the Exotico!","mediumThreeByTwo210","https://static01.nyt.com/images/2019/07/19/arts/17cassandro/merlin_157859007_ec586de2-30c3-43b1-87b1-bdda0ca8517f-mediumThreeByTwo210.jpg",140,210,NA,0.0761904761904762,0.240634083007295,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"192",192,192,"Castle in the Ground","tt3689484",5.2,643,"movie","Castle in the Ground",0,2019,"\N",105,"Drama","",0,"Jeannette Catsoulis","‘Castle in the Ground’ Review: Dazed and Used","A young man’s bereavement leads to addiction in this sluggish dependency drama.",2020-05-14,2020-05-15,"2020-05-14 13:04:04","article","https://www.nytimes.com/2020/05/14/movies/castle-in-the-ground-review.html","Read the New York Times Review of Castle in the Ground","mediumThreeByTwo210","https://static01.nyt.com/images/2020/05/12/arts/castle1/castle1-mediumThreeByTwo210.jpg",140,210,NA,-0.15,0.404660351405966,-1.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"193",193,193,"Cats","tt5697572",2.8,43693,"movie","Cats",0,2019,"\N",110,"Comedy,Drama,Family","PG",0,"Manohla Dargis","‘Cats’ Review: They Dance, They Sing, They Lick Their Digital Fur","Tom Hooper’s movie is not a catastrophe. It’s not even an epic hairball.",2019-12-19,2019-12-20,"2020-01-19 17:44:02","article","https://www.nytimes.com/2019/12/18/movies/cats-review.html","Read the New York Times Review of Cats","mediumThreeByTwo210","https://static01.nyt.com/images/2019/12/20/arts/00cats-1/00cats-1-mediumThreeByTwo210-v3.jpg",140,210,NA,0.00333333333333334,0.293054521174734,0.05,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"194",194,194,"Cavale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"Teo Bugbee","‘Cavale’ Review: Riding in Cars With Girls on the Run","In Virginie Gourmel’s drama, three teenage girls escape a psychiatric facility, however therapeutically or legally ill-advised.",2019-11-28,2019-11-29,"2019-12-06 17:44:02","article","https://www.nytimes.com/2019/11/28/movies/cavale-review.html","Read the New York Times Review of Cavale","mediumThreeByTwo210","https://static01.nyt.com/images/2019/11/29/arts/28cavale-art/28cavale-art-mediumThreeByTwo210.jpg",140,210,NA,-0.0111111111111111,0.244080239672721,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"195",195,195,"Celebration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"GLENN KENNY","‘Celebration’ Review: The Final Stand of Yves Saint Laurent","There’s little joy in this documentary, despite its title. But the movie is both revealing and beguiling.",2019-10-01,2019-10-02,"2019-10-16 16:44:02","article","https://www.nytimes.com/2019/10/01/movies/celebration-review.html","Read the New York Times Review of Celebration","mediumThreeByTwo210","https://static01.nyt.com/images/2019/10/04/arts/celebration1/celebration1-mediumThreeByTwo210.jpg",140,210,NA,0.0416666666666667,0.176776695296637,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"196",196,196,"Chaos Walking","tt2076822",5.7,12659,"movie","Chaos Walking",0,2021,"\N",109,"Action,Adventure,Fantasy","PG-13",0,"Glenn Kenny","‘Chaos Walking’ Review: Just Thinking Out Loud","Daisy Ridley plays the only woman to arrive on a planet full of men, whose thoughts are visibly on display, in this sci-fi thriller.",2021-03-04,2021-03-05,"2021-03-04 12:05:02","article","https://www.nytimes.com/2021/03/04/movies/chaos-walking-review.html","Read the New York Times Review of Chaos Walking","mediumThreeByTwo210","https://static01.nyt.com/images/2021/03/05/arts/chaos1/chaos1-mediumThreeByTwo440.jpg",140,210,NA,0.004,0.02,0.1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
