OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-TX,USGS Texas Water Science Center,USGS-335051096374800,"Lk Texoma near shore ZM site nr Denison, TX","Lake, Reservoir, Impoundment",,11130210,,,,,33.84750000000000,-96.6300000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,618.00,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,181,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-345958100535901,"Greenbelt Lk nr Old Main Pt BR nr Clarendon, TX","Lake, Reservoir, Impoundment",,11120201,,,,,34.99939720000000,-100.8997194000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2670,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,129,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-350034100542801,"Greenbelt Lk nr DeFreese Boat Dock nr Clarendon,TX","Lake, Reservoir, Impoundment",,11120201,,,,,35.00935556000000,-100.9076472000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2654,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,129,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-354136101344601,"Lk Meredith nr Fritch Fortress BR nr Sanford, TX","Lake, Reservoir, Impoundment",,11090105,,,,,35.69346944000000,-101.5795028000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2937,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,233,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-354225101331601,"Lk Meredith nr Lk Meredith Marina nr Sanford, TX","Lake, Reservoir, Impoundment",,11090105,,,,,35.70700556000000,-101.5545167000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2937,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,233,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-354832102124701,LL-07-15-403,Well,,11090105,,,,,35.80886944000000,-102.2130111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3846,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,205,High Plains aquifer,Ogallala Formation,,20080923,655,ft,655,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-355357101431901,TT-06-03-710,Well,,11100104,,,,,35.89903056000000,-101.7219500000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3442,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,341,High Plains aquifer,Ogallala Formation,,20081213,475,ft,475,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-360128101500001,TT-03-58-709,Well,,11100104,,,,,36.02448056000000,-101.8333694000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3515,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,341,High Plains aquifer,Ogallala Formation,,20090326,515,ft,515,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-360332100101401,SH-04-63-502,Well,,11100203,,,,,36.05921944000000,-100.1714000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2709,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,295,High Plains aquifer,Ogallala Formation,,20080327,590,ft,590,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-360546101393301,XD-03-59-301,Well,,11100104,,,,,36.09603889000000,-101.6590306000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3390,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,421,High Plains aquifer,Ogallala Formation,,20080920,450,ft,450,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-360640101434901,XD-03-59-105,Well,,11100104,,,,,36.11108056000000,-101.7303000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3447,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,421,High Plains aquifer,Ogallala Formation,,20080922,475,ft,475,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-360743100161001,SH-04-54-902,Well,,11100203,,,,,36.12848889000000,-100.2693889000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2627,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,295,High Plains aquifer,Ogallala Formation,,20080831,530,ft,530,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-361242101341001,LB-03-52-203,Well,,11100104,,,,,36.21173889000000,-101.5694611000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3325,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,195,High Plains aquifer,Ogallala Formation,,20080918,510,ft,510,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-361813100054301,SH-04-48-401,Well,,11100203,,,,,36.30356110000000,-100.0953694000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2474,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,295,High Plains aquifer,Ogallala Formation,,20100727,360,ft,360,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-362137102533001,HP-02-41-305,Well,,11090103,,,,,36.36016110000000,-102.8918000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4425,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,111,High Plains aquifer,Ogallala Formation,,20100305,600,ft,600,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-362146100542801,UD-04-41-3xx (OC-4196),Well,,11100201,,,,,36.36275000000000,-100.9077194000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2972,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,357,High Plains aquifer,Ogallala Formation,,20110427,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-362234100075201,SH-04-39-903,Well,,11100203,,,,,36.37592500000000,-100.1301111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2476,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,295,High Plains aquifer,Ogallala Formation,,20071114,460,ft,460,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-362341102375101,HP-02-35-901,Well,,11100103,,,,,36.39483889000000,-102.6307111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4223,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,111,,Dakota Sandstone or Formation,,20090629,600,ft,600,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-362648102442201,HP-02-35-404,Well,,11100103,,,,,36.44673056000000,-102.7394889000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4317,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,111,High Plains aquifer,Ogallala Formation,,20100629,600,ft,600,ft,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-362700101083801,LB-03-39-603,Well,,11100104,,,,,36.45011110000000,-101.1439000000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,2993,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,195,High Plains aquifer,Ogallala Formation,,20100611,580,ft,580,ft,NWIS
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BITH_BSVC,Big Sandy Creek 20m Upstream of FM 1276 Bridge,River/Stream,"This stream, which changes its name to Village Creek downstream of this point, is sampled at its crossing under the FM 1276 bridge, at the downstream end of the Big Sandy Creek Unit.  This site represents a headwater site within the Village Creek watershed. Two additional sites will be sampled, at approximate mid and end-points of Village Creek. Upstream of the Big Sandy Creek is the Alabama-Coushatta Indian Reservation (location of a TCEQ Clean Rivers sampling site).",12020006,,,,,30.5765000000,-94.6306944444,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,48,373,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BITH_LPLR,Little Pine Island Bayou at Lance Rosier,River/Stream,,12020007,,,,,30.2605000000,-94.5255000000,,,,GPS-Unspecified,WGS84,,,,,,,US,48,199,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BITH_MCMC,Menard Creek at Hwy 146 Bridge,River/Stream,This station is positioned in the lower portion of the Menard Creek watershed.  Menard Creek is the only stream within the Preserve that drains to the Trinity River.  All other Preserve streams are part of the Neches watershed.,12030202,,,,,30.4814138890,-94.7797083335,,,,Interpolation-Satellite,NAD83,,,,,,,US,48,291,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BITH_MRVC,MBVC.  Village Creek at McNeely Road,River/Stream,The mid reach of Village creek is sampled at the crossing of McNeely Road.  This site is downstream of the major tributaries of Turkey and Hickory Creeks.,12020006,,,,,30.4662694440,-94.3228305557,,,,Interpolation-Satellite,NAD83,,,,,,,US,48,199,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BITH_SPVC,Village Creek at State Park,River/Stream,,12020006,,,,,30.2554020000,-94.1729870000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,48,199,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-BITH_TCTC,Turkey Creek at Gore Store Road Bridge,River/Stream,"Near the lower portion of the watershed, Turkey Creek is sampled from the Gore Store Road Bridge.  Turkey Creek, approximately 25 meters upstream from bridge on blacktop road in Hardin County, northeast of Village Mills.",12020006,,,,,30.5212583340,-94.3435249996,,,,Interpolation-Satellite,NAD83,,,,,,,US,48,199,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-PAIS_BAFF,Baffin Bay,Estuary,,12110203,,,,,27.2870000000,-97.4051540000,,,,GPS-Unspecified,NAD83,,,,,,,US,48,273,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-PAIS_BIRD,South Bird Island,Estuary,,12110203,,,,,27.4843660000,-97.3180890000,,,,GPS-Unspecified,NAD83,,,,,,,US,48,273,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SAAN_AEAE,Acequia de Espada,Canal Irrigation,"This site is directly superjacent to the Piedras Creek site, and representative of waters of the Acequia de Espada.  Note heavy growth of hydrilla.",12100301,,,,,29.3325160000,-98.4614690000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,48,029,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SAAN_PCPC,Piedras Creek,River/Stream,"Piedras Creek will be monitored as it enters park lands at the crossing of Acequia de Espada Aqueduct.  Piedras, also know as Six Mile Creek, drains a highly urbanized watershed west of the river and has displayed elevated nutrients during high flow.",12100301,,,,,29.3327090000,-98.4612780000,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,48,029,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SAAN_SJAC,San Juan Acequia,Canal Irrigation,,12100301,,,,,29.3328800000,-98.4531980000,,,,Interpolation-Digital Map Source,NAD83,,,,,,,US,48,029,,,,,,,,,STORET
11NPSWRD_WQX,National Park Service Water Resources Division,11NPSWRD_WQX-SAAN_SJSR,San Antonio River 300 meters downstream of Ashley Rd.,River/Stream,Natural river channel at mission San Juan De Capistrano,12100301,,,,,29.3345000000,-98.4559647000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,48,029,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-ARA001,Rockport Beach Park West,BEACH Program Site-Estuary,,12100405,,,,,28.0285900000,-97.0423300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,007,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-ARA002,Rockport Beach Park East,BEACH Program Site-Estuary,,12100405,,,,,28.0302000000,-97.0376300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,007,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-ARA003,Rockport Saltwater Pool,BEACH Program Site-Estuary,,12100405,,,,,28.0325100000,-97.0321500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,007,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-ARA004,Little Bay Ski Basin,BEACH Program Site-Estuary,,12100405,,,,,28.0306400000,-97.0396100000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,007,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA002,CR750,BEACH Program Site-Ocean,,12040205,,,,,28.9118100000,-95.3350700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA004,8th Street,BEACH Program Site-Ocean,,,,,,,28.9303300000,-95.3069700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA005,Quintana Beach County Park,BEACH Program Site-Ocean,,,,,,,28.9334900000,-95.3010300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA006,Surfside Jetty County Park,BEACH Program Site-Ocean,,12040205,,,,,28.9378700000,-95.2950100000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA007,Surfside - 9th Street,BEACH Program Site-Ocean,,,,,,,28.9424500000,-95.2915900000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA008,Beach Drive,BEACH Program Site-Ocean,,12040205,,,,,28.9496600000,-95.2848500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA009,Surfside - 2nd Drive,BEACH Program Site-Ocean,,,,,,,28.9544400000,-95.2798500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA010,Surfside Beach Recreational Area,BEACH Program Site-Ocean,,12040205,,,,,28.9604700000,-95.2731400000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA011,Stahlman Park,BEACH Program Site-Ocean,,12040205,,,,,28.9709900000,-95.2610600000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA012,Bay St.,BEACH Program Site-Ocean,,12040205,,,,,28.9724100000,-95.2593500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA013,Stanek Dr.,BEACH Program Site-Ocean,,12040205,,,,,28.9778100000,-95.2529700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA014,County Road 257A-South,BEACH Program Site-Ocean,,,,,,,28.9898700000,-95.2375800000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA015,County Road 257A,BEACH Program Site-Ocean,,,,,,,28.9903080000,-95.2332700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA016,County Road 257K,BEACH Program Site-Ocean,,,,,,,29.0046500000,-95.2172600000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA017,County Road 257S,BEACH Program Site-Ocean,,,,,,,29.0443900000,-95.1606400000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-BRA018,County Road 257,BEACH Program Site-Ocean,,12040205,,,,,29.0560300000,-95.1436700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,039,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM001,Boca Chica State Park #1,BEACH Program Site-Ocean,0.5 miles south of entrance,12110208,,,,,25.9891900000,-97.1494100000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM002,Boca Chica State Park #2,BEACH Program Site-Ocean,0.25 miles south of entrance,12110208,,,,,25.9930000000,-97.1499500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM003,Boca Chica State Park #3,BEACH Program Site-Ocean,Highway 4 entrance,12110208,,,,,25.9967000000,-97.1502100000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM004,Boca Chica State Park #4,BEACH Program Site-Ocean,0.25 miles north of entrance,12110208,,,,,26.0003500000,-97.1503000000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM005,Boca Chica State Park #5,BEACH Program Site-Ocean,0.5 miles north of entrance,12110208,,,,,26.0041400000,-97.1508600000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM006,Boca Chica State Park #6,BEACH Program Site-Ocean,0.75 miles north of entrance,12110208,,,,,26.0077400000,-97.1510300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM007,Isla Blanca Park #1,BEACH Program Site-Ocean,South,12110208,,,,,26.0695300000,-97.1550100000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM008,Isla Blanca Park#2,BEACH Program Site-Ocean,Middle,12110208,,,,,26.0755800000,-97.1574500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM010,Pearl South Padre Hotel,BEACH Program Site-Ocean,,12110208,,,,,26.0829800000,-97.1590500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM011,Harbor,BEACH Program Site-Ocean,,12110208,,,,,26.0951800000,-97.1619400000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM012,Beach Circle,BEACH Program Site-Ocean,,12110208,,,,,26.0996800000,-97.1625400000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM013,Seaside,BEACH Program Site-Ocean,,12110208,,,,,26.1026100000,-97.1631100000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM014,Blue Water,BEACH Program Site-Ocean,,12110208,,,,,26.1067200000,-97.1636900000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM016,Bougainvillea,BEACH Program Site-Ocean,,12110208,,,,,26.1147500000,-97.1649200000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM017,Starlight,BEACH Program Site-Ocean,,12110208,,,,,26.1192400000,-97.1655100000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM019,Fantasy,BEACH Program Site-Ocean,,12110208,,,,,26.1281700000,-97.1668800000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM021,Andy Bowie Park,BEACH Program Site-Ocean,South Pavillion,12110208,,,,,26.1401900000,-97.1688500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM022,Andy Bowie Park,BEACH Program Site-Ocean,North Pavilion,12110208,,,,,26.1422100000,-97.1689200000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM023,Access Point #3,BEACH Program Site-Ocean,Access Point #3,12110208,,,,,26.1455300000,-97.1695500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM024,Access Point #4,BEACH Program Site-Ocean,Access Point #4,12110208,,,,,26.1568700000,-97.1710300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM025,Atwood Park,BEACH Program Site-Ocean,Entrance,12110208,,,,,26.1653100000,-97.1719500000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM026,Atwood Park,BEACH Program Site-Ocean,Atwood Park North,12110208,,,,,26.1691800000,-97.1725600000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM027,Access Point #6,BEACH Program Site-Ocean,Entrance,12110208,,,,,26.2079300000,-97.1775400000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM028,Access Point #6,BEACH Program Site-Ocean,Access Pt. #6 North,12110208,,,,,26.2218300000,-97.1801300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM029,Bay Access #2,BEACH Program Site-Estuary,,12110208,,,,,26.1427900000,-97.1782900000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-CAM030,Isla Grand Beach Resort,BEACH Program Site-Ocean,,12110208,,,,,26.0887000000,-97.1606200000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,061,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL001,San Luis Pass Toll Bridge,BEACH Program Site-Ocean,,12040204,,,,,29.0862700000,-95.1112000000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL003,West Beach,BEACH Program Site-Ocean,,12040204,,,,,29.1171600000,-95.0750900000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL005,Terramar Beach,BEACH Program Site-Ocean,,12040204,,,,,29.1285500000,-95.0583300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL007,Sea Isle South,BEACH Program Site-Ocean,,12040204,,,,,29.1405000000,-95.0394200000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL013,16 Mile Rd.,BEACH Program Site-Ocean,,12040204,,,,,29.1752900000,-94.9827300000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL014,Jamaica Beach South,BEACH Program Site-Ocean,,12040204,,,,,29.1817100000,-94.9717700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL017,GISP #2,BEACH Program Site-Ocean,,12040204,,,,,29.1881600000,-94.9608700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL019,GISP #4,BEACH Program Site-Ocean,,12040204,,,,,29.1919300000,-94.9546800000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL021,GISP #6 -Bayside,BEACH Program Site-Estuary,,12040204,,,,,29.2131300000,-94.9536700000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL022,13 Mile Road,BEACH Program Site-Ocean,,12040204,,,,,29.1953700000,-94.9488000000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
21TXBCH,Texas General Land Office,21TXBCH-GAL023,Pirates Drive,BEACH Program Site-Ocean,,12040204,,,,,29.2012600000,-94.9381800000,,,,Interpolation-Digital Map Source (Tiger),NAD83,,,,,,,US,48,167,,,,,,,,,STORET
